Marca temporal,Atención,Higiene,Amabilidad,Atractiva(o),Buen humor,Situación sentimental,Mentalidad Conservadora,Desenlace
15/4/2024 16:48:35,SI,SI,SI,SI,NO,NO,NO,Éxito
15/4/2024 16:48:38,SI,SI,SI,SI,SI,NO,NO,Fallo
15/4/2024 16:48:47,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:48:49,NO,SI,SI,SI,SI,NO,SI,Éxito
15/4/2024 16:49:12,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:49:18,SI,SI,SI,SI,SI,SI,SI,Fallo
15/4/2024 16:49:22,SI,SI,NO,SI,NO,SI,SI,Fallo
15/4/2024 16:49:26,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:49:41,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:49:44,SI,SI,SI,SI,SI,NO,SI,Fallo
15/4/2024 16:49:47,SI,SI,SI,SI,SI,NO,NO,Fallo
15/4/2024 16:49:52,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:50:00,SI,SI,SI,SI,SI,SI,SI,Éxito
15/4/2024 16:50:04,SI,SI,SI,SI,SI,NO,SI,Éxito
15/4/2024 16:50:06,SI,SI,NO,SI,SI,SI,NO,Fallo
15/4/2024 16:50:12,NO,NO,SI,NO,SI,NO,NO,Fallo
15/4/2024 16:50:31,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:50:32,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:50:39,SI,SI,SI,NO,SI,NO,NO,Éxito
15/4/2024 16:50:40,NO,NO,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:50:49,SI,SI,SI,SI,SI,NO,NO,Éxito
15/4/2024 16:51:13,SI,SI,SI,SI,SI,SI,SI,Fallo
15/4/2024 16:51:15,SI,SI,NO,SI,SI,NO,NO,Éxito
15/4/2024 16:51:20,NO,SI,SI,SI,NO,NO,NO,Fallo
15/4/2024 16:51:21,SI,SI,SI,SI,SI,NO,NO,Fallo
15/4/2024 16:51:41,SI,SI,SI,SI,SI,NO,SI,Éxito
15/4/2024 16:51:41,NO,SI,SI,NO,SI,NO,NO,Éxito
15/4/2024 16:52:02,SI,SI,SI,NO,NO,NO,NO,Fallo
15/4/2024 16:52:03,SI,SI,SI,SI,SI,NO,SI,Éxito
15/4/2024 16:52:12,SI,SI,SI,SI,SI,SI,NO,Éxito
15/4/2024 16:52:18,SI,SI,SI,NO,SI,NO,SI,Fallo
15/4/2024 16:52:31,SI,SI,SI,SI,SI,NO,SI,Éxito
15/4/2024 16:54:04,NO,SI,NO,SI,SI,NO,SI,Fallo
15/4/2024 16:58:41,SI,SI,SI,NO,SI,NO,NO,Fallo
